intent-group,loom-design,molecule,loom-name,loom-description,design/epitope,design/orf,design/orf-2,design/promoter,design/orf-protein-mutations,design/orf-source-organism,design/orf-2-protein-mutations,design/orf-2-source-organism,design/promoter-source-organism,design-genome/organism,design/backbone
Yeast expression,946,4046374,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046429,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046508,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046460,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046159,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046164,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046307,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046577,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046366,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046573,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046203,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046474,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046279,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046317,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046197,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046232,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046500,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046471,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046188,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,Escherichia coli (strain K12):P0AEX9,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046224,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046269,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046236,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046529,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046433,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046515,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046377,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046258,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046184,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046550,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046488,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046502,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046586,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046522,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046491,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046263,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046183,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046472,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046543,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046493,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046383,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046415,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046162,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046177,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046370,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046464,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046321,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046489,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046591,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046585,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046524,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046566,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,Escherichia coli (strain K12):P0AEX9,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046329,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046241,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046501,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046556,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046509,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046334,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046499,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046339,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046540,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046525,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046475,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046422,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724394.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046444,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046390,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046333,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,,pGAL1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046442,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046557,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,Escherichia coli (strain K12):P0AEX9,pTEF1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046304,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,Escherichia coli (strain K12):P0AEX9,pGAL1,wt,Severe acute respiratory syndrome coronavirus 2,d1-26 d393-396,Escherichia coli (strain K12),Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
Yeast expression,946,4046560,P141 covid19 protein expression and purification cytosolic,P141 covid19 protein expression and purification designs,Sc 3x FLAG tag,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,,pTEF1,d1,Severe acute respiratory syndrome coronavirus 2,,,Saccharomyces cerevisiae,Saccharomyces cerevisiae,biofab shuttle pbr322 and Amp with 2micron and URA3 - digested aari
